Item Type,Small,Medium,Large,XLarge
automation,0.01007,0.00231,0.00139,
board,0.00310,0.00088,0.00083,0.00002
cloudId,0.00005,0.00000,0.00000,0.00000
comment,4.80,4.75,2.69,0.26
config,0.00039,0.00003,0.00001,0.00000
dashboard,0.00217,0.00060,0.00090,0.00002
efs,0.00487,0.00023,0.00003,
filter,0.02089,0.00506,0.00555,0.00075
global_workflow_status,0.01504,0.00074,0.00033,0.00001
icon,0.00768,0.00050,0.00016,0.00003
issue,1.00,1.00,1.00,1.00
issue_attachment,2.10,1.55,1.52,0.15
issue_attachment_content,2.12,1.55,1.52,0.15
issue_field,0.00928,0.00222,0.00123,0.00004
issue_field_configuration,0.00050,0.00016,0.00005,0.00000
issue_field_configuration_scheme,0.00045,0.00012,0.00004,0.00001
issue_link,0.30,0.23,0.23,0.08
issue_link_type,0.00054,0.00006,0.00002,0.00000
issue_priority,0.00030,0.00003,0.00001,0.00000
issue_properties,0.89,0.80,0.74,1.05
issue_remote_link,0.56,0.76,0.33,0.05
issue_resolution,0.00047,0.00005,0.00002,0.00000
issue_security_scheme,0.00057,0.00011,0.00001,0.00000
issue_type,0.00375,0.00098,0.00019,0.00000
issue_type_scheme,0.00160,0.00040,0.00023,0.00000
issue_type_screen_scheme,0.00154,0.00040,0.00022,0.00000
issue_type_screen_scheme_item,0.00405,0.00114,0.00078,0.00004
issue_vote,0.00277,0.00066,0.00030,0.00043
issue_watcher,2.51,3.95,2.24,0.26
issue_worklog,7.27,1.49,0.24,0.06
object,0.22,0.13,0.01,
object_connected_tickets,0.71,2.37,0.00149,
object_schema,0.00026,0.00001,0.00000,0.00000
object_schema_attributes,0.01718,0.00005,0.00001,
object_schema_reference_type,0.00450,0.00058,0.00001,0.00000
object_schema_status_type,0.00937,0.00109,0.00010,
object_type,0.04,0.00212,0.00037,0.00000
object_type_attribute,0.22,0.02,0.00360,0.00003
organization,0.00246,0.00011,0.00002,0.00000
permission_scheme,0.00133,0.00034,0.00005,0.00000
project,0.00249,0.00066,0.00032,0.00001
project_avatar,1.45,0.63,0.46,0.00014
project_category,0.00031,0.00003,0.00002,0.00001
project_component,0.49,0.29,0.21,0.00060
project_feature,0.74,0.32,0.28,0.00012
project_issue_field_configuration_scheme,0.03,0.01,0.00795,0.00003
project_issue_security_scheme,0.01187,0.00372,0.00231,0.00000
project_issue_type_scheme,0.05,0.02,0.01697,0.00003
project_issue_type_screen_scheme,0.04,0.02,0.01677,0.00003
project_notification_scheme,0.05,0.02,0.01666,0.00001
project_organization_mapping,0.49,0.04,0.00897,
project_permission_scheme,0.06,0.02,0.01775,0.00001
project_property,0.48,0.27,0.09,0.00002
project_property_key,0.48,0.27,0.09,0.00002
project_role,0.00335,0.00086,0.00007,0.00000
project_role_actors,0.48,0.27,0.32,0.00032
project_version,1.76,0.64,1.44,0.00489
queue,0.16,0.04,0.01,0.00000
request,0.86,0.29,0.12,0.00197
request_type,0.20,0.04,0.02,0.00000
request_type_group,0.04,0.01,0.00338,0.00000
screen,0.01063,0.00266,0.00111,0.00001
screen_scheme,0.00327,0.00094,0.00072,0.00001
screen_tab,0.00803,0.00209,0.00144,0.00001
screen_tab_field,0.09,0.03,0.01720,0.00029
sprint,0.07,0.04,0.05,0.00186
workflow,0.00344,0.00110,0.00053,0.00001
workflow_scheme,0.00173,0.00045,0.00023,0.00000
workflow_scheme_draft,0.00011,0.00001,0.00000,0.00000
workflow_scheme_project_association,0.00214,0.00050,0.00031,0.00002
workflow_transition_property,0.00048,0.00004,0.00001,0.00000
workspace,0.00005,0.00000,0.00000,0.00000
workspace_reference_type,0.00026,0.00002,0.00000,0.00000
